Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Document ChEMBL ID,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Source ID,Source Description,Document Journal,Cell ChEMBL ID,Properties,Action Type
CHEMBL4165749,BI 2545,None,527.43,1,4.24,EUB0000318,O=C(NC[C@@H]1[C@H]2CN(C(=O)OCc3cc(C(F)(F)F)cc(C(F)(F)F)c3)C[C@@H]12)c1ccc2[nH]nnc2c1,% Ctrl,,111,%,,,Not Active,UO_0000187,,,,,0,CHEMBL4507275,CHEMBL4881660,N_NEURO_A4B2 Cerep selectivity data (BI),B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,Assay technology: Radioligand Binding | Assay type: biochemical | Method: N neuronal alpha4beta2 (agonist radioligand) | Mode of action: agonist | Target type: GPCR_CLASS_A,,,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Homo sapiens,PROTEIN COMPLEX,54,Donated Chemical Probes - SGC Frankfurt,,None,Compound concentration None 10.0 µM,AGONIST
CHEMBL3417525,BI 665915,None,458.53,0,2.78,EUB0000749,CN(C)C(=O)Cn1cc(-c2nc([C@@](C)(c3ccc(-c4cnc(N)nc4)cc3)C3CC3)no2)cn1,% Ctrl,,113,%,,,Not Active,UO_0000187,,,,,0,CHEMBL4507276,CHEMBL4881779,N_NEURO_A4B2 Cerep selectivity data (BI),B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,Assay technology: Radioligand Binding | Assay type: biochemical | Method: N neuronal alpha4beta2 (agonist radioligand) | Mode of action: agonist | Target type: GPCR_CLASS_A,,,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Homo sapiens,PROTEIN COMPLEX,54,Donated Chemical Probes - SGC Frankfurt,,None,Compound concentration None 20.0 µM,AGONIST
CHEMBL4636332,BI 2540,None,527.83,2,5.89,EUB0001578,Cc1c(NC(=O)COc2ccc(Cl)cc2C(=O)c2cc(F)cc(C(F)(F)F)c2)ccc(C(=O)O)c1F,% Ctrl,,102,%,,,Not Active,UO_0000187,,,,,0,CHEMBL4630903,CHEMBL4885586,N_NEURO_A4B2 Eurofins SafetyScreen44 (BI),B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,Assay technology: Radioligand Binding | Assay type: biochemical | Method: N neuronal alpha4beta2 (agonist radioligand) | Mode of action: agonist | Target type: GPCR_CLASS_A,,,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Homo sapiens,PROTEIN COMPLEX,54,Donated Chemical Probes - SGC Frankfurt,,None,Compound concentration None 10.0 µM,AGONIST
CHEMBL2403318,DELEOBUVIR,3,653.58,2,6.85,EUB0001577,Cn1c(C2(NC(=O)c3ccc4c(C5CCCC5)c(-c5ncc(Br)cn5)n(C)c4c3)CCC2)nc2ccc(/C=C/C(=O)O)cc21,% Ctrl,,111,%,,,Not Active,UO_0000187,,,,,0,CHEMBL4630904,CHEMBL4885633,N_NEURO_A4B2 Eurofins SafetyScreen44 (BI),B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,Assay technology: Radioligand Binding | Assay type: biochemical | Method: N neuronal alpha4beta2 (agonist radioligand) | Mode of action: agonist | Target type: GPCR_CLASS_A,,,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Homo sapiens,PROTEIN COMPLEX,54,Donated Chemical Probes - SGC Frankfurt,,None,Compound concentration None 10.0 µM,AGONIST
CHEMBL3640116,BI-1942,None,434.5,0,3.14,EUB0001112,CC[C@H](CC(=O)O)n1c(=O)c2ncccc2n(Cc2cn(C)c3cc(C)cc(C)c23)c1=O,% Ctrl,,103,%,,,Not Active,UO_0000187,,,,,0,CHEMBL4800723,CHEMBL4887745,N_NEURO_A4B2 Eurofins SafetyScreen44 (BI),B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,Assay technology: Radioligand Binding | Assay type: biochemical | Method: N neuronal alpha4beta2 (agonist radioligand) | Mode of action: agonist | Target type: GPCR_CLASS_A,,,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Homo sapiens,PROTEIN COMPLEX,54,Donated Chemical Probes - SGC Frankfurt,,None,Compound concentration None 10.0 µM,AGONIST
CHEMBL5092999,,None,568.66,2,5.94,EUB0001700,COCCCS(=O)(=O)c1cc(C)c(-c2ccc(F)c3c2CC[C@H]3Oc2ccc3c(c2)OC[C@H]3CC(=O)O)c(C)c1,% Ctrl,=',112,%,,,Not Active,UO_0000187,,,,,0,CHEMBL5058643,CHEMBL5058886,N_NEURO_A4B2 Eurofins SafetyScreen44 (BI),B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,Assay technology: Radioligand Binding | Assay type: biochemical | Method: N neuronal alpha4beta2 (agonist radioligand) | Mode of action: agonist | Target type: GPCR_CLASS_A,,,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Homo sapiens,PROTEIN COMPLEX,54,Donated Chemical Probes - SGC Frankfurt,,None,Compound concentration = 10.0 µM,AGONIST
CHEMBL5307400,,None,380.38,0,1.89,EUB0002188,CCn1c(=O)c(C)cn(Cc2nnc(-c3ccc(F)c(O)c3F)s2)c1=O,% Ctrl,=',109,%,,,Not Active,UO_0000187,,,,,0,CHEMBL5303761,CHEMBL5303962,N_NEURO_A4B2 Eurofins SafetyScreen44 (BI),B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,Assay technology: Radioligand Binding | Assay type: biochemical | Method: N neuronal alpha4beta2 (agonist radioligand) | Target type: GPCR_CLASS_A,,,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Homo sapiens,PROTEIN COMPLEX,54,Donated Chemical Probes - SGC Frankfurt,,None,Compound concentration = 10.0 uM,AGONIST
CHEMBL5308145,,None,394.4,0,2.19,EUB0002187,CCn1c(=O)c(C)cn(Cc2nnc(-c3ccc(F)c(OC)c3F)s2)c1=O,% Ctrl,=',107,%,,,Not Active,UO_0000187,,,,,0,CHEMBL5303761,CHEMBL5304006,N_NEURO_A4B2 Eurofins SafetyScreen44 (BI),B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,Assay technology: Radioligand Binding | Assay type: biochemical | Method: N neuronal alpha4beta2 (agonist radioligand) | Target type: GPCR_CLASS_A,,,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Homo sapiens,PROTEIN COMPLEX,54,Donated Chemical Probes - SGC Frankfurt,,None,Compound concentration = 10.0 uM,AGONIST
CHEMBL5303508,,None,523.47,0,1.56,EUB0001755aCl,CCn1c(CNC(=O)c2nc(Cl)cnc2N)[n+](CC)c2ccc(C(=O)N(C)CCN(C)C)cc21.[Cl-],% Ctrl,=',101,%,,,Not Active,UO_0000187,,,,,0,CHEMBL5303762,CHEMBL5304047,N_NEURO_A4B2 Eurofins SafetyScreen44 (BI),B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,Assay technology: Radioligand Binding | Assay type: biochemical | Target type: GPCR_CLASS_A,,,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Homo sapiens,PROTEIN COMPLEX,54,Donated Chemical Probes - SGC Frankfurt,,None,Compound concentration = 10.0 uM,AGONIST
CHEMBL5306038,,None,489.02,0,1.17,EUB0001699,CCn1c(CNC(=O)c2ncc(C)nc2N)[n+](CC)c2ccc(C(=O)N(C)CN(C)C)cc21.[Cl-],% Ctrl,=',103,%,,,Not Active,UO_0000187,,,,,0,CHEMBL5303762,CHEMBL5304102,N_NEURO_A4B2 Eurofins SafetyScreen44 (BI),B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,Assay technology: Radioligand Binding | Assay type: biochemical | Target type: GPCR_CLASS_A,,,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Homo sapiens,PROTEIN COMPLEX,54,Donated Chemical Probes - SGC Frankfurt,,None,Compound concentration = 10.0 uM,AGONIST
CHEMBL5303444,,None,500,0,4.45,EUB0001742a,C[C@@H]1C[C@H](C)CN(c2ncc(Cl)c(Nc3ccc4c(c3)cc(OC(C)(C)C(=O)O)c(=O)n4C)n2)C1,% Ctrl,=',106,%,,,Not Active,UO_0000187,,,,,0,CHEMBL5303763,CHEMBL5304350,N_NEURO_A4B2 Eurofins SafetyScreen44 (BI),B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,Assay technology: Radioligand Binding | Assay type: biochemical | Method: N neuronal alpha4beta2 (agonist radioligand) | Target type: GPCR_CLASS_A,,,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Homo sapiens,PROTEIN COMPLEX,54,Donated Chemical Probes - SGC Frankfurt,,None,Compound concentration = 10.0 uM,AGONIST
CHEMBL4640049,,None,484.99,0,3.33,EUB0001732,CNC(=O)COc1cc2cc(Nc3nc(N4C[C@H](C)C[C@H](C)C4)ncc3Cl)ccc2n(C)c1=O,% Ctrl,=',107,%,,,Not Active,UO_0000187,,,,,0,CHEMBL5303763,CHEMBL5304149,N_NEURO_A4B2 Eurofins SafetyScreen44 (BI),B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,Assay technology: Radioligand Binding | Assay type: biochemical | Method: N neuronal alpha4beta2 (agonist radioligand) | Target type: GPCR_CLASS_A,,,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Homo sapiens,PROTEIN COMPLEX,54,Donated Chemical Probes - SGC Frankfurt,,None,Compound concentration = 10.0 uM,AGONIST
